Day,Len,State,EV,Dem,GOP,Ind,Date,,,,,,,,Pollster
335.0,1,Alabama,9,35,63,02,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Alaska,3,38,53,06,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Arizona,11,45,50,04,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Arkansas,6,34,60,03,Dec 01,,,,,,,,2016 Election results-1
335.0,1,California,55,61,34,03,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Colorado,9,47,45,05,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Connecticut,7,54,42,03,Dec 01,,,,,,,,2016 Election results-1
335.0,1,D.C.,3,93,4,02,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Delaware,3,53,42,03,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Florida,29,48,49,02,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Georgia,16,46,51,03,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Hawaii,4,65,28,04,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Idaho,4,29,58,07,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Illinois,20,55,39,04,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Indiana,11,38,57,05,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Iowa,6,42,52,04,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Kansas,6,36,58,04,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Kentucky,8,33,63,03,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Louisiana,8,38,58,02,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Maine,4,48,45,02,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Maryland,10,61,35,03,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Massachusetts,11,61,34,04,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Michigan,16,47,48,04,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Minnesota,10,47,46,04,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Mississippi,6,40,58,01,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Missouri,10,38,57,04,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Montana,3,34,58,05,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Nebraska,5,33,61,05,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Nevada,6,47,45,03,Dec 01,,,,,,,,2016 Election results-1
335.0,1,New Hampshire,4,48,47,04,Dec 01,,,,,,,,2016 Election results-1
335.0,1,New Jersey,14,55,42,02,Dec 01,,,,,,,,2016 Election results-1
335.0,1,New Mexico,5,48,40,09,Dec 01,,,,,,,,2016 Election results-1
335.0,1,New York,29,59,38,02,Dec 01,,,,,,,,2016 Election results-1
335.0,1,North Carolina,15,47,51,02,Dec 01,,,,,,,,2016 Election results-1
335.0,1,North Dakota,3,28,64,06,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Ohio,18,44,52,03,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Oklahoma,7,29,65,06,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Oregon,7,52,41,05,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Pennsylvania,20,48,49,02,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Rhode Island,4,55,40,03,Dec 01,,,,,,,,2016 Election results-1
335.0,1,South Carolina,9,40,56,02,Dec 01,,,,,,,,2016 Election results-1
335.0,1,South Dakota,3,32,62,06,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Tennessee,11,35,61,03,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Texas,38,43,53,03,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Utah,6,29,45,22,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Vermont,3,61,33,04,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Virginia,13,50,45,03,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Washington,12,56,38,04,Dec 01,,,,,,,,2016 Election results-1
335.0,1,West Virginia,5,27,69,03,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Wisconsin,10,46,49,04,Dec 01,,,,,,,,2016 Election results-1
335.0,1,Wyoming,3,23,70,05,Dec 01,,,,,,,,2016 Election results-1
